id,creationDate,lastUpdateDate,createdBy,lastUpdatedBy,name
1,2018-01-08T23:41:01,2018-01-08T23:41:01,john.jullion-ceccarelli@oracle.com,john.jullion-ceccarelli@oracle.com,Afghanistan
2,2018-01-08T23:41:01,2018-01-08T23:41:01,john.jullion-ceccarelli@oracle.com,john.jullion-ceccarelli@oracle.com,Aland Islands
3,2018-01-08T23:41:01,2018-01-08T23:41:01,john.jullion-ceccarelli@oracle.com,john.jullion-ceccarelli@oracle.com,Albania
4,2018-01-08T23:41:01,2018-01-08T23:41:01,john.jullion-ceccarelli@oracle.com,john.jullion-ceccarelli@oracle.com,Algeria
5,2018-01-08T23:41:01,2018-01-08T23:41:01,john.jullion-ceccarelli@oracle.com,john.jullion-ceccarelli@oracle.com,American Samoa
6,2018-01-08T23:41:01,2018-01-08T23:41:01,john.jullion-ceccarelli@oracle.com,john.jullion-ceccarelli@oracle.com,Andorra
7,2018-01-08T23:41:01,2018-01-08T23:41:01,john.jullion-ceccarelli@oracle.com,john.jullion-ceccarelli@oracle.com,Angola
8,2018-01-08T23:41:01,2018-01-08T23:41:01,john.jullion-ceccarelli@oracle.com,john.jullion-ceccarelli@oracle.com,Anguilla
9,2018-01-08T23:41:01,2018-01-08T23:41:01,john.jullion-ceccarelli@oracle.com,john.jullion-ceccarelli@oracle.com,Antarctica
10,2018-01-08T23:41:01,2018-01-08T23:41:01,john.jullion-ceccarelli@oracle.com,john.jullion-ceccarelli@oracle.com,Antigua and Barbuda
11,2018-01-08T23:41:01,2018-01-08T23:41:01,john.jullion-ceccarelli@oracle.com,john.jullion-ceccarelli@oracle.com,Argentina
12,2018-01-08T23:41:01,2018-01-08T23:41:01,john.jullion-ceccarelli@oracle.com,john.jullion-ceccarelli@oracle.com,Armenia
13,2018-01-08T23:41:01,2018-01-08T23:41:01,john.jullion-ceccarelli@oracle.com,john.jullion-ceccarelli@oracle.com,Aruba
14,2018-01-08T23:41:01,2018-01-08T23:41:01,john.jullion-ceccarelli@oracle.com,john.jullion-ceccarelli@oracle.com,Australian
15,2018-01-08T23:41:01,2018-01-08T23:41:01,john.jullion-ceccarelli@oracle.com,john.jullion-ceccarelli@oracle.com,Austria
16,2018-01-08T23:41:01,2018-01-08T23:41:01,john.jullion-ceccarelli@oracle.com,john.jullion-ceccarelli@oracle.com,Azerbaijan
17,2018-01-08T23:41:01,2018-01-08T23:41:01,john.jullion-ceccarelli@oracle.com,john.jullion-ceccarelli@oracle.com,Bahamas
18,2018-01-08T23:41:01,2018-01-08T23:41:01,john.jullion-ceccarelli@oracle.com,john.jullion-ceccarelli@oracle.com,Bahrain
19,2018-01-08T23:41:01,2018-01-08T23:41:01,john.jullion-ceccarelli@oracle.com,john.jullion-ceccarelli@oracle.com,Bangladesh
20,2018-01-08T23:41:01,2018-01-08T23:41:01,john.jullion-ceccarelli@oracle.com,john.jullion-ceccarelli@oracle.com,Barbados
21,2018-01-08T23:41:01,2018-01-08T23:41:01,john.jullion-ceccarelli@oracle.com,john.jullion-ceccarelli@oracle.com,Belarus
22,2018-01-08T23:41:01,2018-01-08T23:41:01,john.jullion-ceccarelli@oracle.com,john.jullion-ceccarelli@oracle.com,Belgium
